Recombinant ternary DES;Profile-Hydrogen donor;Profile-Hydrogen accept;LCCs interaction potential;Cosmovolume;Density;Solubility (log);Formula weight;Viscosity (In);Time;Temperature;Predicted delignification
cholinechloride[1]aceticacid[2]benzylalcohol[1];  0.006555;  0.010896;  -17.073998;  171.1361689025;  1.03802896;  -1.71762854888889;  106.9799;  -10.4771953056977;  2;  120;  38.97
cholinechloride[1]aceticacid[2]butanediol[1];  0.0133865;  0.0214165;  -16.51177;  165.720697605;  1.02681688;  -2.00961997333333;  102.475645;  -9.94974000810048;  2;  120;  35.39
cholinechloride[1]aceticacid[2]glycerol[1];  0.016873;  0.029004;  -15.729998;  159.453242295;  1.07231291;  -2.35835144555556;  102.968835;  -7.79783038275751;  2;  120;  34.78
cholinechloride[1]aceticacid[2]glycol[1];  0.0114805;  0.0206165;  -15.787476;  150.48327569;  1.05339872;  -2.36434626555556;  95.4623075;  -10.1817796881778;  2;  120;  34.67
cholinechloride[1]aceticacid[2]propanediol[1];  0.0136395;  0.0220195;  -15.991302;  157.8214444825;  1.04131508;  -2.26334072;  98.9689775;  -10.1775895167538;  2;  120;  33.29
cholinechloride[1]aceticacid[2]xylitol[1];  0.0250575;  0.0399735;  -15.72568;  177.975512355;  1.10078924;  -2.46612430333333;  117.9818875;  -2.63072922262807;  2;  120;  37.36
cholinechloride[1]aceticacid[5]benzylalcohol[1];  0.0155149285714286;  0.017062;  -17.90457;  225.94159334;  1.16653246;  -1.80989973222222;  158.724483333333;  -7.68231866437187;  2;  120;  64.08
cholinechloride[1]aceticacid[5]butanediol[1];  0.0133720714285714;  0.0132902857142857;  -17.541822;  214.876910088333;  1.06688515;  -1.97754825555556;  138.056966666667;  -7.33778842514535;  2;  120;  61.76
cholinechloride[1]aceticacid[5]glycerol[1];  0.0138837857142857;  0.0144971428571429;  -17.197776;  212.91409241;  1.13905291;  -2.13044199444444;  146.04921;  -6.22134139286023;  2;  120;  58.2
cholinechloride[1]aceticacid[5]glycol[1];  0.0143457142857143;  0.0154949285714286;  -17.267144;  213.970385201667;  1.15412403;  -2.12811813555556;  148.715781666667;  -7.44433612934219;  2;  120;  59.93
cholinechloride[1]aceticacid[5]propanediol[1];  0.0140757142857143;  0.0146789285714286;  -17.35043;  201.616919191667;  1.07381222;  -2.08203758888889;  130.378573333333;  -7.45350830757144;  2;  120;  59.46
cholinechloride[1]aceticacid[5]xylitol[1];  0.0138476428571428;  0.014411;  -17.132558;  217.959542666667;  1.13049599;  -2.18688334;  148.38699;  -3.55179849229454;  2;  120;  38.56
cholinechloride[1]benzoicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -18.047612;  198.801340335;  1.02740353;  -1.11140513777778;  123.001745;  -16.3317484021775;  2;  120;  42.81
cholinechloride[1]benzoicacid[2]butanediol[1];  0.0133865;  0.0214165;  -17.726418;  193.3858690375;  1.01749787;  -1.25781264444444;  118.49749;  -15.8042931045802;  2;  120;  41.3
cholinechloride[1]benzoicacid[2]glycerol[1];  0.016873;  0.029004;  -17.350756;  187.118413725;  1.05595524;  -1.31924288222222;  118.99068;  -13.6523834792372;  2;  120;  39.22
cholinechloride[1]benzoicacid[2]glycol[1];  0.0114805;  0.0206165;  -17.525852;  178.14844712;  1.03915466;  -1.26288721777778;  111.4841525;  -16.0363327846575;  2;  120;  62.08
cholinechloride[1]benzoicacid[2]propanediol[1];  0.0136395;  0.0220195;  -17.501398;  185.4866159125;  1.0294368;  -1.30777124777778;  114.9908225;  -16.0321426132335;  2;  120;  52.09
cholinechloride[1]benzoicacid[2]xylitol[1];  0.0250575;  0.0399735;  -17.181858;  205.6406837875;  1.08207395;  -1.49599616777778;  134.0037325;  -8.4852823191078;  2;  120;  29.33
cholinechloride[1]benzoicacid[5]benzylalcohol[1];  0.0116592142857143;  0.0112447857142857;  -19.861632;  149.705245321667;  1.01311889;  -0.977706305555556;  91.337335;  -15.9591007800356;  2;  120;  63.91
cholinechloride[1]benzoicacid[5]butanediol[1];  0.0126351428571428;  0.0127477142857143;  -19.522392;  146.19339398;  1.00334825;  -1.05123156666667;  88.3345;  -15.6637258133812;  2;  120;  63.81
cholinechloride[1]benzoicacid[5]glycerol[1];  0.0131332142857143;  0.0138316428571428;  -19.246332;  142.204236515;  1.03533384;  -1.12041221222222;  88.6632916666667;  -14.4586564231891;  2;  120;  62.02
cholinechloride[1]benzoicacid[5]glycol[1];  0.0123628571428571;  0.0126334285714286;  -19.427824;  136.445254425;  1.0181295;  -1.07636423333333;  83.6589416666667;  -15.7936680342245;  2;  120;  61.79
